Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772632269	1	0	0	0	0	165	2100	0	8620	7088	0	0	0	445	3	152	2	0	0	1	1
1772632271	3	0	0	0	0	165	2100	0	8620	7088	0	0	0	617	5	402	5	0	0	1	1
1772632273	5	0	0	0	0	165	2100	0	8620	7088	0	0	0	1051	9	981	10	0	0	1	1
1772632275	7	0	0	0	0	165	2100	0	8620	7088	0	0	0	2258	19	8621	24	0	0	1	1
1772632277	9	0	0	0	0	165	2100	0	8620	7088	0	0	0	9553	56	29647	67	0	0	1	1
1772632279	11	0	0	0	0	165	2100	0	8620	7088	0	0	0	12592	65	30320	72	0	0	1	1
1772632281	13	0	0	0	0	165	2100	0	8620	7088	0	0	0	29140	123	51278	123	0	0	1	1
1772632283	15	0	0	0	0	165	2100	0	8620	7088	0	0	0	42543	159	58877	158	0	0	1	1
1772632285	17	0	0	0	0	165	2100	0	8620	7088	0	0	0	43076	164	59424	162	0	0	1	1
1772632287	19	0	0	0	0	165	2100	0	8620	7088	0	0	0	44122	176	66900	179	0	0	1	1
1772632289	21	0	0	0	0	165	2100	0	8620	7088	0	0	0	44708	181	76856	193	0	0	1	1
1772632291	23	0	0	0	0	165	2100	0	8620	7088	0	0	0	55787	208	98796	229	0	0	1	1
1772632293	25	0	0	0	0	165	2100	0	8620	7088	0	0	0	57465	218	104539	239	0	0	1	1
1772632295	27	0	0	0	0	165	2100	0	8620	7088	0	0	0	133468	296	113269	291	0	0	1	1
1772632297	29	0	0	0	0	165	2100	0	8620	7088	0	0	0	133951	301	113822	296	0	0	1	1
1772632299	31	0	0	0	0	165	2100	0	8620	7088	0	0	0	135518	310	119230	307	0	0	1	1
1772632301	33	0	0	0	0	165	2100	0	8620	7088	0	0	0	135941	314	119663	310	0	0	1	1
1772632303	35	0	0	0	0	165	2100	0	8620	7088	0	0	0	136391	319	120045	314	0	0	1	1
1772632305	37	0	0	0	0	165	2100	0	8620	7088	0	0	0	137019	324	120600	318	0	0	1	1
1772632307	39	0	0	0	0	165	2100	0	8620	7088	0	0	0	137442	328	121111	322	0	0	1	1
1772632309	41	0	0	0	0	165	2100	0	8620	7088	0	0	0	137641	331	121244	324	0	0	1	1
1772632311	43	0	0	0	0	165	2100	0	8620	7088	0	0	0	138038	335	121677	327	0	0	1	1
1772632313	45	0	0	0	0	165	2100	0	8620	7088	0	0	0	138582	341	122243	332	0	0	1	1
1772632315	47	0	0	0	0	165	2100	0	8620	7088	0	0	0	139842	353	123384	342	0	0	1	1
1772632317	49	0	0	0	0	165	2100	0	8620	7088	0	0	0	140331	358	123961	347	0	0	1	1
1772632319	51	0	0	0	0	165	2100	0	8620	7088	0	0	0	140583	361	124367	350	0	0	1	1
1772632321	53	0	0	0	0	165	2100	0	8620	7088	0	0	0	140962	365	124573	353	0	0	1	1
