Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772635495	1	0	0	0	0	268	3252	0	6376	6588	0	0	0	52	1	0	0	0	0	1	1
1772635497	3	0	0	0	0	268	3252	0	6376	6588	0	0	0	12420	46	18607	47	0	0	1	1
1772635499	5	0	0	0	0	268	3252	0	6376	6588	0	0	0	14468	60	20808	63	0	0	1	1
1772635501	7	0	0	0	0	268	3252	0	6376	6588	0	0	0	15123	65	21546	68	0	0	1	1
1772635503	9	0	0	0	0	268	3252	0	6376	6588	0	0	0	15175	66	21546	68	0	0	1	1
1772635505	11	0	0	0	0	268	3252	0	6376	6588	0	0	0	15857	72	22420	75	0	0	1	1
1772635507	13	0	0	0	0	268	3252	0	6376	6588	0	0	0	17501	81	24617	87	0	0	1	1
1772635509	15	0	0	0	0	268	3252	0	6376	6588	0	0	0	18808	89	25660	95	0	0	1	1
1772635511	17	0	0	0	0	268	3252	0	6376	6588	0	0	0	19365	93	26473	100	0	0	1	1
1772635513	19	0	0	0	0	268	3252	0	6376	6588	0	0	0	28773	122	35905	123	0	0	1	1
1772635515	21	0	0	0	0	268	3252	0	6376	6588	0	0	0	30235	135	36915	131	0	0	1	1
1772635517	23	0	0	0	0	268	3252	0	6376	6588	0	0	0	30836	140	37555	134	0	0	1	1
1772635519	25	0	0	0	0	268	3252	0	6376	6588	0	0	0	32227	155	38279	144	0	0	1	1
1772635521	27	0	0	0	0	268	3252	0	6376	6588	0	0	0	32937	161	38712	147	0	0	1	1
1772635523	29	0	0	0	0	268	3252	0	6376	6588	0	0	0	33297	165	38981	148	0	0	1	1
1772635525	31	0	0	0	0	287	3584	0	22768	6588	0	0	0	34207	174	39447	154	0	1	1	3
1772635527	33	0	0	0	0	303	3600	0	39160	6588	0	0	0	34973	181	40070	159	0	7	1	5
1772635529	35	0	0	0	0	319	3616	0	55552	6588	0	0	0	35565	187	40285	162	0	16	1	7
1772635531	37	0	0	0	0	335	3632	0	71944	6588	0	0	0	36454	194	40899	167	0	30	1	9
1772635533	39	0	0	0	0	355	3652	0	88336	6588	0	0	0	36792	197	41254	169	0	49	1	11
1772635535	41	0	0	0	0	371	3668	0	104728	6588	0	0	0	37397	204	41452	172	0	69	1	13
1772635537	43	0	0	0	0	387	3684	0	121120	6588	0	0	0	38364	211	42178	176	0	94	1	15
1772635539	45	0	0	0	0	403	3700	0	137512	6588	0	0	0	39515	222	43310	185	0	116	1	17
1772635541	47	0	0	0	0	419	3716	0	153904	6588	0	0	0	40596	231	43845	189	0	139	1	19
1772635543	49	0	0	0	0	439	3736	0	170296	6588	0	0	0	42947	245	46632	201	0	163	1	21
1772635545	51	0	0	0	0	455	3752	0	186688	6588	0	0	0	43677	252	47490	208	0	186	1	23
1772635547	53	0	0	0	0	471	3768	0	203080	6588	0	0	0	44351	258	47667	210	0	208	1	25
1772635549	55	0	0	0	0	487	3784	0	219472	6588	0	0	0	45637	269	48600	218	0	233	1	27
1772635551	57	0	0	0	0	503	3800	0	235864	6588	0	0	0	53480	298	55315	241	0	256	1	29
1772635553	59	0	0	0	0	519	3816	0	252256	6588	0	0	0	54748	308	56291	246	0	279	1	31
