Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772635174	2	0	0	0	0	532761	535796	0	538868	6588	0	0	0	0	0	0	0	0	0	1	1
1772635176	3	0	0	0	0	543005	546040	0	549112	6588	0	0	0	7618	21	8684	14	0	0	1	1
1772635178	5	0	0	0	0	563493	566528	0	569600	6588	0	0	0	8610	31	8840	16	0	0	1	1
1772635180	7	0	0	0	0	583981	587016	0	590088	6588	0	0	0	9438	39	9273	19	0	0	1	1
1772635182	9	0	0	0	0	604469	607504	0	610576	6588	0	0	0	10148	46	9587	22	0	0	1	1
1772635184	11	0	0	0	0	624957	627992	0	631064	6588	0	0	0	11385	58	10460	30	0	0	1	1
1772635186	13	0	0	0	0	645445	648480	0	651552	6588	0	0	0	11976	63	10893	33	0	0	1	1
1772635188	15	0	0	0	0	665933	668968	0	672040	6588	0	0	0	12644	71	11154	37	0	0	1	1
1772635190	17	0	0	0	0	686421	689456	0	692528	6588	0	0	0	21039	104	22953	66	0	0	1	1
1772635192	19	0	0	0	0	706909	709944	0	713016	6588	0	0	0	21487	110	23395	69	0	0	1	1
1772635194	21	0	0	0	0	727397	730432	0	733504	6588	0	0	0	22236	117	23870	73	0	0	1	1
1772635196	23	0	0	0	0	747885	750920	0	753992	6588	0	0	0	22913	123	24303	76	0	0	1	1
1772635198	25	0	0	0	0	768373	771408	0	774480	6588	0	0	0	23594	130	24459	78	0	0	1	1
1772635200	27	0	0	0	0	788861	791896	0	794968	6588	0	0	0	24411	137	24892	81	0	0	1	1
1772635202	29	0	0	0	0	809349	812384	0	815456	6588	0	0	0	25084	143	25325	84	0	0	1	1
1772635204	31	0	0	0	0	829837	832872	0	835944	6588	0	0	0	26015	153	25798	90	0	0	1	1
1772635206	33	0	0	0	0	850325	853360	0	856432	6588	0	0	0	26606	158	26231	93	0	0	1	1
1772635208	35	0	0	0	0	870813	873848	0	876920	6588	0	0	0	27338	164	26628	96	0	0	1	1
1772635210	37	0	0	0	0	891301	894336	0	897408	6588	0	0	0	28980	171	26801	98	0	0	1	1
1772635212	39	0	0	0	0	911789	914824	0	917896	6588	0	0	0	29974	181	27578	105	0	0	1	1
1772635214	41	0	0	0	0	932277	935312	0	938384	6588	0	0	0	30898	189	28144	110	0	0	1	1
1772635216	43	0	0	0	0	952765	955800	0	958872	6588	0	0	0	31394	195	28326	113	0	0	1	1
1772635218	45	0	0	0	0	973253	976288	0	979360	6588	0	0	0	32274	203	28837	117	0	0	1	1
1772635220	47	0	0	0	0	993741	996776	0	999848	6588	0	0	0	32892	209	28915	118	0	0	1	1
1772635222	49	0	0	0	0	1014229	1017264	0	1020336	6588	0	0	0	33728	216	29520	123	0	0	1	1
1772635224	51	0	0	0	0	1034717	1037752	0	1040824	6588	0	0	0	34518	223	30090	128	0	0	1	1
1772635226	53	0	0	0	0	1055205	1058240	0	1061312	6588	0	0	0	34910	227	30168	129	0	0	1	1
1772635228	55	0	0	0	0	1075693	1078728	0	1081800	6588	0	0	0	35475	232	30631	133	0	0	1	1
1772635230	57	0	0	0	0	1096181	1099216	0	1102288	6588	0	0	0	36352	239	31159	137	0	0	1	1
1772635232	59	0	0	0	0	1116669	1119704	0	1122776	6588	0	0	0	37087	246	31586	141	0	0	1	1
