Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772634028	2	0	0	0	0	512268	515200	0	518372	6588	0	0	0	0	0	0	0	0	1	1	1
1772634030	4	0	0	0	0	512268	515200	0	518372	6588	0	0	0	6305	23	5321	20	0	3	1	1
1772634032	6	0	0	0	0	512268	515200	0	518372	6588	0	0	0	6642	27	5805	24	0	5	1	1
1772634034	8	0	0	0	0	512268	515200	0	518372	6588	0	0	0	7166	32	5891	25	0	7	1	1
1772634036	10	0	0	0	0	512268	515200	0	518372	6588	0	0	0	8463	39	13105	35	0	9	1	1
1772634038	12	0	0	0	0	512268	515200	0	518372	6588	0	0	0	8661	42	13225	37	0	11	1	1
1772634040	14	0	0	0	0	512268	515200	0	518372	6588	0	0	0	8998	45	13658	40	0	13	1	1
1772634042	16	0	0	0	0	512268	515200	0	518372	6588	0	0	0	9395	49	14133	44	0	15	1	1
1772634044	18	0	0	0	0	512268	515200	0	518372	6588	0	0	0	9628	51	14133	44	0	17	1	1
1772634046	20	0	0	0	0	512268	515200	0	518372	6588	0	0	0	11299	61	22083	59	0	19	1	1
1772634048	22	0	0	0	0	512268	515200	0	518372	6588	0	0	0	11863	66	22558	63	0	21	1	1
1772634050	24	0	0	0	0	512268	515200	0	518372	6588	0	0	0	12001	68	22636	64	0	23	1	1
1772634052	26	0	0	0	0	512268	515200	0	518372	6588	0	0	0	13030	77	23590	73	0	25	1	1
1772634054	28	0	0	0	0	512268	515200	0	518372	6588	0	0	0	13616	82	24005	77	0	27	1	1
1772634056	30	0	0	0	0	512268	515200	0	518372	6588	0	0	0	15034	93	25040	87	0	29	1	1
1772634058	32	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	15534	98	25531	91	0	31	1	1
1772634060	34	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	15672	100	25609	92	0	33	1	1
1772634062	36	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	16069	104	26084	96	0	35	1	1
1772634064	38	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	16820	107	26633	100	0	37	1	1
1772634066	40	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	17940	117	27648	109	0	39	1	1
1772634068	42	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	18337	121	28123	113	0	41	1	1
1772634070	44	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	18844	127	28726	119	0	43	1	1
1772634072	46	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	19181	131	28941	122	0	45	1	1
1772634074	48	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	19680	135	29296	124	0	47	1	1
1772634076	50	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	19818	137	29374	125	0	49	1	1
1772634078	52	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	20215	141	29849	129	0	51	1	1
1772634080	54	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	20552	144	30282	132	0	53	1	1
1772634082	56	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	26722	168	53288	170	0	55	1	1
1772634084	58	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	34841	192	59529	187	0	57	1	1
1772634086	60	0	0	0	0	1024268	1027200	0	1030372	6588	0	0	0	35461	198	60167	192	0	59	1	1
