Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772637784	2	0	0	0	0	512269	515232	0	518368	6588	0	0	0	0	0	0	0	0	1	1	1
1772637786	4	0	0	0	0	512269	515232	0	518368	6588	0	0	0	612	8	467	4	0	3	1	1
1772637788	6	0	0	0	0	512269	515232	0	518368	6588	0	0	0	1635	18	553	5	0	5	1	1
1772637790	8	0	0	0	0	512269	515232	0	518368	6588	0	0	0	2267	24	986	8	0	7	1	1
1772637792	10	0	0	0	0	512269	515232	0	518368	6588	0	0	0	2665	29	1192	11	0	9	1	1
1772637794	12	0	0	0	0	512269	515232	0	518368	6588	0	0	0	3030	32	1547	13	0	11	1	1
1772637796	14	0	0	0	0	512269	515232	0	518368	6588	0	0	0	5689	51	9695	31	0	13	1	1
1772637798	16	0	0	0	0	512269	515232	0	518368	6588	0	0	0	5829	53	9786	32	0	15	1	1
1772637800	18	0	0	0	0	512269	515232	0	518368	6588	0	0	0	6166	56	10219	35	0	17	1	1
1772637802	20	0	0	0	0	512269	515232	0	518368	6588	0	0	0	6785	61	10789	40	0	19	1	1
1772637804	22	0	0	0	0	512269	515232	0	518368	6588	0	0	0	6979	63	10884	41	0	21	1	1
1772637806	24	0	0	0	0	512269	515232	0	518368	6588	0	0	0	7540	69	11523	47	0	23	1	1
1772637808	26	0	0	0	0	512269	515232	0	518368	6588	0	0	0	7851	72	11878	49	0	25	1	1
1772637810	28	0	0	0	0	512269	515232	0	518368	6588	0	0	0	8310	77	11956	50	0	27	1	1
1772637812	30	0	0	0	0	512269	515232	0	518368	6588	0	0	0	9303	86	12957	58	0	29	1	1
1772637814	32	0	0	0	0	512269	515232	0	518368	6588	0	0	0	9459	89	13061	60	0	31	1	1
1772637816	34	0	0	0	0	512269	515232	0	518368	6588	0	0	0	10530	99	14077	69	0	33	1	1
1772637818	36	0	0	0	0	512269	515232	0	518368	6588	0	0	0	18864	140	36943	124	0	35	1	1
1772637820	38	0	0	0	0	512269	515232	0	518368	6588	0	0	0	30992	164	39871	140	0	37	1	1
1772637822	40	0	0	0	0	512269	515232	0	518368	6588	0	0	0	43686	205	49822	182	0	39	1	1
1772637824	42	0	0	0	0	512269	515232	0	518368	6588	0	0	0	44221	209	50416	186	0	41	1	1
1772637826	44	0	0	0	0	512269	515232	0	518368	6588	0	0	0	46537	223	51672	196	0	43	1	1
1772637828	46	0	0	0	0	512269	515232	0	518368	6588	0	0	0	47461	230	52737	202	0	45	1	1
1772637830	48	0	0	0	0	512269	515232	0	518368	6588	0	0	0	47951	235	53170	205	0	47	1	1
1772637832	50	0	0	0	0	512269	515232	0	518368	6588	0	0	0	63077	295	90659	271	0	49	1	1
1772637834	52	0	0	0	0	512269	515232	0	518368	6588	0	0	0	64608	303	91206	275	0	51	1	1
1772637836	54	0	0	0	0	512269	515232	0	518368	6588	0	0	0	65974	318	91604	280	0	53	1	1
1772637838	56	0	0	0	0	512269	515232	0	518368	6588	0	0	0	66539	323	92045	283	0	55	1	1
1772637840	58	0	0	0	0	512269	515232	0	518368	6588	0	0	0	67042	328	92655	288	0	57	1	1
1772637842	60	0	0	0	0	512269	515232	0	518368	6588	0	0	0	67612	335	92775	290	0	59	1	1
