Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772633091	1	0	0	0	0	512264	515184	0	518368	6588	0	0	0	86	1	91	1	0	1	1	1
1772633093	3	0	0	0	0	512264	515184	0	518368	6588	0	0	0	681	8	2854	9	0	3	1	1
1772633095	5	0	0	0	0	512264	515184	0	518368	6588	0	0	0	932	10	3209	11	0	5	1	1
1772633097	7	0	0	0	0	512264	515184	0	518368	6588	0	0	0	1757	18	3778	16	0	7	1	1
1772633099	9	0	0	0	0	512264	515184	0	518368	6588	0	0	0	2076	22	3942	18	0	9	1	1
1772633101	11	0	0	0	0	512264	515184	0	518368	6588	0	0	0	2413	25	4375	21	0	11	1	1
1772633103	13	0	0	0	0	512264	515184	0	518368	6588	0	0	0	2987	32	5221	30	0	13	1	1
1772633105	15	0	0	0	0	512264	515184	0	518368	6588	0	0	0	3039	33	5221	30	0	15	1	1
1772633107	17	0	0	0	0	512264	515184	0	518368	6588	0	0	0	3871	42	6068	38	0	17	1	1
1772633109	19	0	0	0	0	512264	515184	0	518368	6588	0	0	0	4009	44	6415	40	0	19	1	1
1772633111	21	0	0	0	0	512264	515184	0	518368	6588	0	0	0	4400	48	6645	43	0	21	1	1
1772633113	23	0	0	0	0	512264	515184	0	518368	6588	0	0	0	31802	89	14110	73	0	23	1	1
1772633115	25	0	0	0	0	512264	515184	0	518368	6588	0	0	0	33014	94	21251	81	0	25	1	1
1772633117	27	0	0	0	0	512264	515184	0	518368	6588	0	0	0	40925	123	28570	106	0	27	1	1
1772633119	29	0	0	0	0	512264	515184	0	518368	6588	0	0	0	41843	131	29274	112	0	29	1	1
1772633121	31	0	0	0	0	512264	515184	0	518368	6588	0	0	0	41981	133	29352	113	0	31	1	1
1772633123	33	0	0	0	0	512264	515184	0	518368	6588	0	0	0	42378	137	29827	117	0	33	1	1
1772633125	35	0	0	0	0	512264	515184	0	518368	6588	0	0	0	42629	139	30182	119	0	35	1	1
1772633127	37	0	0	0	0	512264	515184	0	518368	6588	0	0	0	43023	144	30416	122	0	37	1	1
1772633129	39	0	0	0	0	512264	515184	0	518368	6588	0	0	0	43427	148	30849	125	0	39	1	1
1772633131	41	0	0	0	0	512264	515184	0	518368	6588	0	0	0	43565	150	31196	127	0	41	1	1
1772633133	43	0	0	0	0	512264	515184	0	518368	6588	0	0	0	44048	155	31493	131	0	43	1	1
1772633135	45	0	0	0	0	512264	515184	0	518368	6588	0	0	0	44514	158	31934	134	0	45	1	1
1772633137	47	0	0	0	0	512264	515184	0	518368	6588	0	0	0	44712	161	32054	136	0	47	1	1
1772633139	49	0	0	0	0	512264	515184	0	518368	6588	0	0	0	45341	166	32649	141	0	49	1	1
1772633141	51	0	0	0	0	512264	515184	0	518368	6588	0	0	0	45678	169	33082	144	0	51	1	1
1772633143	53	0	0	0	0	512264	515184	0	518368	6588	0	0	0	45876	172	33202	146	0	53	1	1
1772633145	55	0	0	0	0	512264	515184	0	518368	6588	0	0	0	46599	177	33685	150	0	55	1	1
1772633147	57	0	0	0	0	512264	515184	0	518368	6588	0	0	0	46993	182	34188	154	0	57	1	1
1772633149	59	0	0	0	0	512264	515184	0	518368	6588	0	0	0	47397	186	34352	156	0	59	1	1
